1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1A	52	  	  	A-6 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	  	  	E-7 i28
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	52	  	  	A-6 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	  	  	E-7 i28
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	03	AF	E-7 i26 porAF
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	AE	G-6 i27 porAE
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	03	AD	E-7 i26 porAD
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	AC	G-6 i27 porAC
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	AB	D-7 i28 porAB
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	03	AA	G-6 i27 porAA
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	A9	D-7 i28 porA9
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1A	52	03	A8	A-6 i26 porA8
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	03	A7	E-7 i28 porA7
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	52	03	A6	A-6 i26 porA6
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	03	A5	E-7 i28 porA5
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	A4	G-6 i27 porA4
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	A3	D-7 i28 porA3
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	03	A2	G-6 i27 porA2
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
