  	  	0C	F0	--- FxxF0
1D	50	08	0C	G-6 i29 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	57	08	0C	D-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	57	08	0C	D-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	52	08	0C	A-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	52	08	0C	A-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	57	08	0C	D-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	57	08	0C	D-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	50	08	0C	G-6 arp0C
  	  	08	0C	--- arp0C
  	54	08	0C	B-6 arp0C
  	  	08	0C	--- arp0C
  	59	08	0C	E-7 arp0C
